date,description,amount
01 Jun,Tesco weekly shop,24.80
01 Jun,Starbucks iced matcha,5.45
02 Jun,Trainline campus return,9.80
02 Jun,Uber Eats dinner after lecture,22.60
03 Jun,Aldi groceries,17.35
03 Jun,Costa coffee library break,4.90
04 Jun,Spotify student plan,5.99
04 Jun,Uber Eats late study meal,18.75
05 Jun,University sports session,6.00
05 Jun,Student Union Bar,16.40
06 Jun,Odeon student cinema ticket,9.99
06 Jun,Nando's restaurant,19.80
07 Jun,Lidl groceries,15.70
07 Jun,Amazon study supplies,13.49
08 Jun,Sainsbury's top-up shop,12.60
08 Jun,Pret coffee and snack,7.25
09 Jun,Bus day ticket,4.80
09 Jun,Deliveroo group order,21.40
10 Jun,Netflix subscription,10.99
10 Jun,Starbucks matcha,5.45
11 Jun,ASOS sale order,34.50
11 Jun,Uber ride home,12.30
12 Jun,Tesco meal deal and snacks,6.20
12 Jun,PureGym membership,24.99
13 Jun,Cineworld student ticket,8.50
13 Jun,Wagamama dinner,18.90
14 Jun,Co-op groceries,13.20
14 Jun,Costa coffee,4.80
15 Jun,Aldi weekly basics,22.40
15 Jun,Student Beans discounted lunch,7.50
16 Jun,Trainline off-peak ticket,11.20
16 Jun,Uber Eats after work shift,20.10
17 Jun,Superdrug toiletries,9.75
17 Jun,Local cafe matcha,5.80
18 Jun,Disney Plus subscription,7.99
18 Jun,Lidl snacks and essentials,10.95
19 Jun,Decathlon sports kit,21.50
19 Jun,Student Union night out,23.40
20 Jun,Asda groceries,18.30
20 Jun,Just Eat takeaway,17.60
21 Jun,Vue cinema snacks,6.75
21 Jun,Restaurant birthday meal,26.90
